"","YEAR","COMMON_NAME","SPECIES_NAME","SPECIES_CODE","total_value"
"1",1950,"African striped grunt","Parapristipoma octolineatum","GRA",0
"2",1950,"Alewife","Alosa pseudoharengus","ALE",0
"3",1950,"Alfonsino","Beryx decadactylus","BXD",0
"4",1950,"Alfonsinos, etc. nei","Berycidae","BRX",0
"5",1950,"Allis and twaite shads","Alosa alosa, A. fallax","SHD",0
"6",1950,"Allis shad","Alosa alosa","ASD",0
"7",1950,"Alloteuthis spp",NA,NA,0
"8",1950,"Amberjacks nei","Seriola spp","AMX",0
"9",1950,"Amer. plaice(=Long rough dab)","Hippoglossoides platessoides","PLA",0
"10",1950,"American angler","Lophius americanus","ANG",0
"11",1950,"Angelsharks, sand devils nei","Squatinidae","ASK",0
"12",1950,"Angolan dentex","Dentex angolensis","DEA",0
"13",1950,"Angular roughshark","Oxynotus centrina","OXY",0
"14",1950,"Annular seabream","Diplodus annularis","ANN",0
"15",1950,"Anomuran decapods nei","Anomura","NUQ",0
"16",1950,"Aquatic invertebrates nei","Invertebrata","INV",22038
"17",1950,"Aquatic mammals nei","Mammalia","MAM",0
"18",1950,"Aquatic plants nei","Plantae aquaticae","APL",0
"19",1950,"Arctic skate","Amblyraja hyperborea","RJG",0
"20",1950,"Argentine","Argentina sphyraena","ARY",0
"21",1950,"Argentine hake","Merluccius hubbsi","HKP",0
"22",1950,"Argentine shortfin squid","Illex argentinus","SQA",0
"23",1950,"Argentines","Argentina spp","ARG",0
"24",1950,"Aristeid shrimps nei","Aristeidae","ARI",0
"25",1950,"Atlantic Spanish mackerel","Scomberomorus maculatus","SSM",0
"26",1950,"Atlantic blue marlin",NA,NA,0
"27",1950,"Atlantic bonito","Sarda sarda","BON",0
"28",1950,"Atlantic ditch shrimp","Palaemon varians","PVR",0
"29",1950,"Atlantic gobies nei","Gobius spp","GOB",0
"30",1950,"Atlantic halibut","Hippoglossus hippoglossus","HAL",0
"31",1950,"Atlantic lizardfish","Synodus saurus","SDR",0
"32",1950,"Atlantic pomfret","Brama brama","POA",0
"33",1950,"Atlantic redfishes nei","Sebastes spp","RED",0
"34",1950,"Atlantic sailfish","Istiophorus albicans","SAI",0
"35",1950,"Atlantic saury","Scomberesox saurus","SAU",0
"36",1950,"Atlantic silverside","Menidia menidia","SSA",0
"37",1950,"Atlantic thornyhead","Trachyscorpia cristulata","TJX",0
"38",1950,"Atlantic tomcod","Microgadus tomcod","TOM",0
"39",1950,"Atlantic white marlin","Kajikia albida","WHM",0
"40",1950,"Axillary seabream","Pagellus acarne","SBA",0
"41",1950,"Baird's slickhead","Alepocephalus bairdii","ALC",0
"42",1950,"Ballan wrasse","Labrus bergylta","USB",0
"43",1950,"Banded carpet shell","Polititapes rhomboides","VNR",0
"44",1950,"Barnacle","Pollicipes pollicipes","PCB",0
"45",1950,"Barracudas nei","Sphyraena spp","BAR",0
"46",1950,"Bastard grunt","Pomadasys incisus","BGR",0
"47",1950,"Bean solen","Pharus legumen","FRL",0
"48",1950,"Benguela hake","Merluccius polli","HKB",0
"49",1950,"Bigelow's ray","Rajella bigelowi","JRW",0
"50",1950,"Bigeye grunt","Brachydeuterus auritus","GRB",0
"51",1950,"Bigeye thresher","Alopias superciliosus","BTH",0
"52",1950,"Bigeye tuna","Thunnus obesus","BET",0
"53",1950,"Bigeyes,glasseyes,bulleyes nei","Priacanthidae","PRI",0
"54",1950,"Birdbeak dogfish","Deania calceus","DCA",0
"55",1950,"Black cardinal fish","Epigonus telescopus","EPI",0
"56",1950,"Black goby","Gobius niger","GBN",0
"57",1950,"Black marlin","Istiompax indica","BLM",0
"58",1950,"Black seabream","Spondyliosoma cantharus","BRB",0
"59",1950,"Blackbelly rosefish","Helicolenus dactylopterus","BRF",0
"60",1950,"Blackfin tuna","Thunnus atlanticus","BLF",35917
"61",1950,"Blackspot(=red) seabream",NA,NA,0
"62",1950,"Bladder wrack","Fucus vesiculosus","FUV",0
"63",1950,"Blue and red shrimp","Aristeus antennatus","ARA",0
"64",1950,"Blue butterfish","Stromateus fiatola","BLB",0
"65",1950,"Blue crab","Callinectes sapidus","CRB",0
"66",1950,"Blue shark","Prionace glauca","BSH",0
"67",1950,"Blue-leg swimcrab","Polybius depurator","IOD",0
"68",1950,"Blueback shad","Alosa aestivalis","BBH",0
"69",1950,"Bluefish","Pomatomus saltatrix","BLU",0
"70",1950,"Bluespotted seabream","Pagrus caeruleostictus","BSC",0
"71",1950,"Bluntnose sixgill shark","Hexanchus griseus","SBL",0
"72",1950,"Boarfishes nei","Caproidae","BOR",0
