"","YEAR","COMMON_NAME","SPECIES_CODE","total_value"
"1",1950,"African striped grunt","GRA",0
"2",1950,"Alewife","ALE",0
"3",1950,"Alfonsino","BXD",0
"4",1950,"Alfonsinos, etc. nei","BRX",0
"5",1950,"Allis and twaite shads","SHD",0
"6",1950,"Allis shad","ASD",0
"7",1950,"Alloteuthis spp",NA,0
"8",1950,"Amberjacks nei","AMX",0
"9",1950,"Amer. plaice(=Long rough dab)","PLA",0
"10",1950,"American angler","ANG",0
"11",1950,"Angelsharks, sand devils nei","ASK",0
"12",1950,"Angolan dentex","DEA",0
"13",1950,"Angular roughshark","OXY",0
"14",1950,"Annular seabream","ANN",0
"15",1950,"Anomuran decapods nei","NUQ",0
"16",1950,"Aquatic invertebrates nei","INV",22038
"17",1950,"Aquatic mammals nei","MAM",0
"18",1950,"Aquatic plants nei","APL",0
"19",1950,"Arctic skate","RJG",0
"20",1950,"Argentine","ARY",0
"21",1950,"Argentine hake","HKP",0
"22",1950,"Argentine shortfin squid","SQA",0
"23",1950,"Argentines","ARG",0
"24",1950,"Aristeid shrimps nei","ARI",0
"25",1950,"Atlantic Spanish mackerel","SSM",0
"26",1950,"Atlantic blue marlin",NA,0
"27",1950,"Atlantic bonito","BON",0
"28",1950,"Atlantic ditch shrimp","PVR",0
"29",1950,"Atlantic gobies nei","GOB",0
"30",1950,"Atlantic halibut","HAL",0
"31",1950,"Atlantic lizardfish","SDR",0
"32",1950,"Atlantic pomfret","POA",0
"33",1950,"Atlantic redfishes nei","RED",0
"34",1950,"Atlantic sailfish","SAI",0
"35",1950,"Atlantic saury","SAU",0
"36",1950,"Atlantic silverside","SSA",0
"37",1950,"Atlantic thornyhead","TJX",0
"38",1950,"Atlantic tomcod","TOM",0
"39",1950,"Atlantic white marlin","WHM",0
"40",1950,"Axillary seabream","SBA",0
"41",1950,"Baird's slickhead","ALC",0
"42",1950,"Ballan wrasse","USB",0
"43",1950,"Banded carpet shell","VNR",0
"44",1950,"Barnacle","PCB",0
"45",1950,"Barracudas nei","BAR",0
"46",1950,"Bastard grunt","BGR",0
"47",1950,"Bean solen","FRL",0
"48",1950,"Benguela hake","HKB",0
"49",1950,"Bigelow's ray","JRW",0
"50",1950,"Bigeye grunt","GRB",0
"51",1950,"Bigeye thresher","BTH",0
"52",1950,"Bigeye tuna","BET",0
"53",1950,"Bigeyes,glasseyes,bulleyes nei","PRI",0
"54",1950,"Birdbeak dogfish","DCA",0
"55",1950,"Black cardinal fish","EPI",0
"56",1950,"Black goby","GBN",0
"57",1950,"Black marlin","BLM",0
"58",1950,"Black seabream","BRB",0
"59",1950,"Blackbelly rosefish","BRF",0
"60",1950,"Blackfin tuna","BLF",35917
"61",1950,"Blackspot(=red) seabream",NA,0
"62",1950,"Bladder wrack","FUV",0
"63",1950,"Blue and red shrimp","ARA",0
"64",1950,"Blue butterfish","BLB",0
"65",1950,"Blue crab","CRB",0
"66",1950,"Blue shark","BSH",0
"67",1950,"Blue-leg swimcrab","IOD",0
"68",1950,"Blueback shad","BBH",0
"69",1950,"Bluefish","BLU",0
"70",1950,"Bluespotted seabream","BSC",0
"71",1950,"Bluntnose sixgill shark","SBL",0
"72",1950,"Boarfishes nei","BOR",0
"73",1950,"Boe drum","DRS",0
"74",1950,"Bogue","BOG",0
"75",1950,"Bonga shad","BOA",0
"76",1950,"Bramble shark","SHB",0
"77",1950,"Broadtail shortfin squid","SQM",0
"78",1950,"Brown ray","JAI",0
"79",1950,"Brown seaweeds","SWB",0
"80",1950,"Bullet tuna","BLT",0
"81",1950,"Butterfishes, pomfrets nei","BUX",0
"82",1950,"Canary drum (=Baardman)",NA,0
"83",1950,"Caramote prawn","TGS",0
"84",1950,"Carangids nei","CGX",0
"85",1950,"Cardinalfishes, etc. nei","APO",0
"86",1950,"Carpet shells nei","TPS",0
"87",1950,"Carragheen (Irish) moss","IMS",0
"88",1950,"Cartilaginous fishes nei","CAR",0
"89",1950,"Catsharks, etc. nei","SYX",0
"90",1950,"Catsharks, nursehounds nei","SCL",0
"91",1950,"Cephalopods nei","CEP",0
"92",1950,"Chaceon geryons nei","GER",0
"93",1950,"Chamber venus","KFA",0
"94",1950,"Clams, etc. nei","CLX",0
"95",1950,"Clupeoids nei","CLU",0
"96",1950,"Comber","CBR",0
"97",1950,"Combers nei","BAS",0
"98",1950,"Common European bittersweet","GKL",0
"99",1950,"Common carp","FCP",0
"100",1950,"Common cuttlefish","CTC",0
"101",1950,"Common dentex","DEC",0
"102",1950,"Common dolphinfish","DOL",0
"103",1950,"Common eagle ray","MYL",0
"104",1950,"Common mora","RIB",0
"105",1950,"Common octopus","OCC",0
"106",1950,"Common pandora","PAC",0
"107",1950,"Common periwinkle","PEE",0
"108",1950,"Common prawn","CPR",0
"109",1950,"Common shrimp","CSH",0
"110",1950,"Common spiny lobster","SLO",0
"111",1950,"Common squids nei","SQC",0
"112",1950,"Common stingray","JDP",0
"113",1950,"Common two-banded seabream","CTB",0
"114",1950,"Copper shark","BRO",0
"115",1950,"Crangonid shrimps nei","CRN",8746
"116",1950,"Craylets, squat lobsters",NA,0
"117",1950,"Crest-tail catsharks nei","GAU",0
"118",1950,"Crevalle jack","CVJ",0
"119",1950,"Croakers, drums nei","CDX",0
"120",1950,"Crocodile shark","PSK",0
"121",1950,"Crucian carp","FCC",0
"122",1950,"Cusk-eels nei","CEX",0
"123",1950,"Cuttlefish,bobtail squids nei",NA,0
"124",1950,"Cyprinids nei","FCY",0
"125",1950,"Damselfish","CMK",0
"126",1950,"Dealfishes","TRP",0
"127",1950,"Deep-sea red crab","KEF",0
"128",1950,"Deep-water Cape hake","HKO",0
"129",1950,"Deep-water rose shrimp","DPS",0
"130",1950,"Delta prawn","PIQ",0
"131",1950,"Demersal percomorphs nei","DPX",0
"132",1950,"Dentex nei","DEX",0
"133",1950,"Devil fish","RMM",0
"134",1950,"Diadromous clupeoids nei","DCX",0
"135",1950,"Diadromous fishes nei","DIA",0
"136",1950,"Dogfish sharks nei","DGX",768
"137",1950,"Dogfish sharks, etc. nei","SHX",7451
"138",1950,"Dogfishes and hounds nei","DGH",0
"139",1950,"Dogfishes nei","DGZ",0
"140",1950,"Donax clams","DON",0
"141",1950,"Dusky grouper","GPD",0
"142",1950,"Eagle rays",NA,0
"143",1950,"Echinoderms","ECH",0
"144",1950,"Edible crab","CRE",4510
"145",1950,"Electric rays nei","TOD",0
"146",1950,"Elegant cuttlefish","EJE",0
"147",1950,"Escolar","LEC",0
"148",1950,"European barracuda","YRS",0
"149",1950,"European common squid","OUL",0
"150",1950,"European conger","COE",4682
"151",1950,"European flat oyster","OYF",461
"152",1950,"European flounder","FLE",0
"153",1950,"European flying squid","SQE",0
"154",1950,"European lobster","LBE",783
"155",1950,"European perch","FPE",0
"156",1950,"European razor clam","RAE",0
"157",1950,"European smelt","SME",0
"158",1950,"European squid","SQR",0
"159",1950,"False scad","HMY",0
"160",1950,"Finfishes nei","FIN",52323
"161",1950,"Flat oysters nei","OYX",0
"162",1950,"Flatfishes nei","FLX",0
"163",1950,"Flathead grey mullet","MUF",0
"164",1950,"Flyingfishes nei","FLY",0
"165",1950,"Forkbeard","FOR",0
"166",1950,"Forkbeards nei","FOX",0
"167",1950,"Freshwater fishes nei","FRF",0
"168",1950,"Frigate and bullet tunas","FRZ",0
"169",1950,"Frigate tuna","FRI",0
"170",1950,"Garfish","GAR",3825
"171",1950,"Gastropods nei","GAS",0
"172",1950,"Gelidium seaweeds","GEL",0
"173",1950,"Giant gelidium","GEQ",0
"174",1950,"Giant red shrimp","ARS",0
"175",1950,"Giant tiger prawn","GIT",0
"176",1950,"Gilthead seabream","SBG",0
"177",1950,"Glasseye","HTU",0
"178",1950,"Gobies nei","GPA",0
"179",1950,"Golden carpet shell","VNA",0
"180",1950,"Goldfish","CGO",0
"181",1950,"Goose barnacles",NA,0
"182",1950,"Great Atlantic scallop","SCE",63
"183",1950,"Greater amberjack","AMB",0
"184",1950,"Greater weever","WEG",0
"185",1950,"Green crab","CRG",0
"186",1950,"Greenland cod","GRC",0
"187",1950,"Greenland shark","GSK",0
"188",1950,"Grenadiers nei","GRV",0
"189",1950,"Grenadiers, rattails nei","RTX",0
"190",1950,"Grey triggerfish","TRG",0
"191",1950,"Grooved carpet shell","CTG",0
"192",1950,"Groundfishes nei","GRO",0
"193",1950,"Groupers nei","GPX",0
"194",1950,"Groupers, seabasses nei","BSX",0
"195",1950,"Grunts, sweetlips nei","GRX",0
"196",1950,"Guitarfishes nei","GUZ",0
"197",1950,"Gulper shark","GUP",0
"198",1950,"Gurnards nei","GUY",0
"199",1950,"Gurnards, searobins nei","GUX",2441
"200",1950,"Hairtails, cutlassfishes nei",NA,0
"201",1950,"Hakes nei","HKX",0
"202",1950,"Halfspined flathead","SRQ",0
"203",1950,"Hammerhead sharks nei","SPN",0
"204",1950,"Hapuku wreckfish","WHA",0
"205",1950,"Hard clams nei","HCX",0
"206",1950,"Horned octopus","EOI",0
"207",1950,"Imperial blackfish","HDV",0
"208",1950,"Indian white prawn","PNI",0
"209",1950,"Inshore squids nei","SQZ",0
"210",1950,"Jacks, crevalles nei","TRE",0
"211",1950,"Japanese carpet shell","CLJ",0
"212",1950,"John dory","JOD",0
"213",1950,"Kelps nei","LAZ",0
"214",1950,"King crabs","KCS",0
"215",1950,"Kingklip","KCP",0
"216",1950,"Knifetooth dogfish","SYR",0
"217",1950,"Knobbed triton","KRJ",0
"218",1950,"Kuruma prawn","KUP",0
"219",1950,"Lampreys nei","LAS",0
"220",1950,"Lanternsharks nei","SHL",0
"221",1950,"Large-eye dentex","DEL",0
"222",1950,"Large-scaled gurnard","LDV",0
"223",1950,"Largehead hairtail","LHT",0
"224",1950,"Leerfish","LEE",0
"225",1950,"Lefteye flounders nei","LEF",0
"226",1950,"Lesser slipper lobster","SCY",0
"227",1950,"Limpets nei","LPZ",0
"228",1950,"Lings nei","LNZ",0
"229",1950,"Lithothamnion","LIT",0
"230",1950,"Little sleeper shark","SOR",0
"231",1950,"Little tunny(=Atl.black skipj)","LTA",0
"232",1950,"Lobsters nei","LOX",0
"233",1950,"Longfin gurnard","GUM",0
"234",1950,"Longfin squid","SQL",0
"235",1950,"Longnose velvet dogfish","CYP",0
"236",1950,"Longnosed skate","RJO",0
"237",1950,"Longspine snipefish","SNS",0
"238",1950,"Lowfin gulper shark",NA,0
"239",1950,"Lumpfish(=Lumpsucker)","LUM",0
"240",1950,"Lusitanian toadfish","BHD",0
"241",1950,"Mackerel sharks,porbeagles nei","MSK",0
"242",1950,"Mactra surf clams nei","MAT",0
"243",1950,"Mako sharks","MAK",0
"244",1950,"Marbled electric ray","TTR",0
"245",1950,"Marine crabs nei","CRA",0
"246",1950,"Marine crustaceans nei","CRU",0
"247",1950,"Marine fishes nei","MZZ",0
"248",1950,"Marine molluscs nei","MOL",10823
"249",1950,"Marine worms","WOR",0
"250",1950,"Marlins,sailfishes,etc. nei","BIL",0
"251",1950,"Marphysa sanguinea",NA,0
"252",1950,"Mature dosinia","DSX",0
"253",1950,"Meagre","MGR",0
"254",1950,"Mediterranean horse mackerel","HMM",0
"255",1950,"Mediterranean moray","MMH",0
"256",1950,"Mediterranean mussel","MSM",0
"257",1950,"Mediterranean scaldfish","MSF",0
"258",1950,"Mediterranean slimehead","HPR",0
"259",1950,"Mediterranean slipper lobster","YLL",0
"260",1950,"Mediterranean spearfish","MSP",0
"261",1950,"Melanocharacidium blennioides",NA,0
"262",1950,"Monrovia doctorfish","MDO",0
"263",1950,"Moras nei","MOR",0
"264",1950,"Morays",NA,0
"265",1950,"Morocco dentex","DEM",0
"266",1950,"Mottled grouper","MKU",0
"267",1950,"Mugil spp",NA,0
"268",1950,"Mullets nei","MUL",0
"269",1950,"Murex","MUE",0
"270",1950,"Musky octopus","EDT",0
"271",1950,"Mytilus spp",NA,0
"272",1950,"Narrow-barred Spanish mackerel","COM",0
"273",1950,"Navaga(=Wachna cod)","COW",0
"274",1950,"Neon flying squid","OFJ",0
"275",1950,"North Atlantic rockweed","ASN",0
"276",1950,"North European kelp","LAH",0
"277",1950,"Northern bluefin tuna",NA,4962
"278",1950,"Northern cods nei","CDZ",0
"279",1950,"Northern pike","FPI",0
"280",1950,"Northern quahog(=Hard clam)","CLH",0
"281",1950,"Northern shortfin squid","SQI",0
"282",1950,"Norwegian egg cockle","LVC",0
"283",1950,"Ocean sunfish","MOX",0
"284",1950,"Oceanic whitetip shark","OCS",0
"285",1950,"Octopuses","OCT",0
"286",1950,"Octopuses nei","OCZ",0
"287",1950,"Offshore rockfish","POI",0
"288",1950,"Oilfish","OIL",0
"289",1950,"Opah","LAG",0
"290",1950,"Ornate wrasse","TMP",0
"291",1950,"Oval surf clam",NA,0
"292",1950,"Palaemonid shrimps nei","PAL",0
"293",1950,"Pandalid shrimps nei","PDZ",0
"294",1950,"Pandalus shrimps nei","PAN",0
"295",1950,"Pandoras nei","PAX",0
"296",1950,"Pargo breams nei","SBP",0
"297",1950,"Parrotfish","PRR",0
"298",1950,"Patagonian toothfish","TOP",0
"299",1950,"Pelagic percomorphs nei","PPX",0
"300",1950,"Penaeid shrimps nei","PEZ",0
"301",1950,"Penaeus shrimps nei","PEN",0
"302",1950,"Peppery furrow","OBN",0
"303",1950,"Percoids nei","PRC",0
"304",1950,"Periwinkles nei","PER",78
"305",1950,"Picarel","SPC",0
"306",1950,"Picarels nei","PIC",0
"307",1950,"Picked dogfish",NA,0
"308",1950,"Pike-perch","FPP",0
"309",1950,"Pink cuttlefish","IAR",0
"310",1950,"Pink dentex","DEP",0
"311",1950,"Pink spiny lobster","PSL",0
"312",1950,"Piper gurnard","GUN",0
"313",1950,"Plain bonito","BOP",0
"314",1950,"Polar cod","POC",0
"315",1950,"Pomadasys spp",NA,0
"316",1950,"Pompano","POP",0
"317",1950,"Pompanos nei","POX",0
"318",1950,"Poor cod","POD",0
"319",1950,"Porgies, seabreams nei","SBX",6023
"320",1950,"Portunus swimcrabs nei","CRS",0
"321",1950,"Precious corals nei","COR",0
"322",1950,"Pullet carpet shell",NA,0
"323",1950,"Purple dye murex","BOY",0
"324",1950,"Queen scallop","QSC",0
"325",1950,"Rabbit fish","CMO",0
"326",1950,"Rainbow trout","TRR",0
"327",1950,"Ratfishes nei","HYD",0
"328",1950,"Rays, stingrays, mantas nei","SRX",0
"329",1950,"Razor clams nei",NA,0
"330",1950,"Razor clams, knife clams nei","SOI",0
"331",1950,"Red bandfish","CBC",0
"332",1950,"Red crab","CRR",0
"333",1950,"Red hake","HKR",0
"334",1950,"Red mullet","MUT",0
"335",1950,"Red pandora","PAR",0
"336",1950,"Red porgy","RPG",0
"337",1950,"Red scorpionfish","RSE",0
"338",1950,"Red seaweeds","SWR",0
"339",1950,"Red swamp crawfish","RCW",0
"340",1950,"Redbanded seabream","REA",0
"341",1950,"Redspotted shrimp","PNB",0
"342",1950,"Requiem sharks nei","RSK",0
"343",1950,"River eels nei","ELX",0
"344",1950,"Roaches nei","FRX",0
"345",1950,"Rock cook","ENX",0
"346",1950,"Rocklings nei","ROL",0
"347",1950,"Rough limpet","LQY",0
"348",1950,"Rough longnose dogfish",NA,0
"349",1950,"Roughtail stingray","RDC",0
"350",1950,"Round sardinella","SAA",0
"351",1950,"Royal spiny lobster","LOY",0
"352",1950,"Rubberlip grunt","GBR",0
"353",1950,"Ruffs, barrelfishes nei","CEN",0
"354",1950,"Saddled seabream","SBS",0
"355",1950,"Salema","SLM",0
"356",1950,"Salmonoids nei","SLX",0
"357",1950,"Salps","SPX",0
"358",1950,"Sand smelt","ATP",0
"359",1950,"Sand sole","SOS",0
"360",1950,"Sand steenbras","SSB",0
"361",1950,"Sandbar shark","CCP",0
"362",1950,"Sardinellas nei","SIX",0
"363",1950,"Sargo breams nei","SRG",0
"364",1950,"Sauries nei","SAX",0
"365",1950,"Scalloped hammerhead","SPL",0
"366",1950,"Scallops nei","SCX",0
"367",1950,"Scarlet shrimp","SSH",0
"368",1950,"Scorpionfishes nei",NA,0
"369",1950,"Scorpionfishes, rockfishes nei","SCS",0
"370",1950,"Sculpins","SCU",0
"371",1950,"Scup","SCP",0
"372",1950,"Sea catfishes nei","CAX",0
"373",1950,"Sea cucumbers nei","CUX",0
"374",1950,"Sea lamprey","LAU",0
"375",1950,"Sea urchins, etc. nei","URX",0
"376",1950,"Seabasses nei","BSE",0
"377",1950,"Seaweeds nei","SWX",0
"378",1950,"Seerfishes nei","KGX",0
"379",1950,"Senegalese hake","HKM",0
"380",1950,"Senegalese sole","OAL",0
"381",1950,"Shads nei","SHZ",0
"382",1950,"Sharks, rays, skates, etc. nei","SKX",0
"383",1950,"Sharpnose sevengill shark","HXT",0
"384",1950,"Sharpsnout seabream","SHR",0
"385",1950,"Shi drum","COB",0
"386",1950,"Shortfin mako","SMA",0
"387",1950,"Shortfin squids nei","ILL",0
"388",1950,"Silky shark","FAL",0
"389",1950,"Silver hake","HKS",0
"390",1950,"Silver scabbardfish","SFS",0
"391",1950,"Silversides(=Sand smelts) nei","SIL",0
"392",1950,"Silvery John dory","JOS",0
"393",1950,"Skipjack tuna","SKJ",0
"394",1950,"Slimeheads nei","TRC",0
"395",1950,"Slipper lobsters nei","LOS",0
"396",1950,"Smooth callista","KLK",0
"397",1950,"Smooth hammerhead","SPZ",0
"398",1950,"Smooth-hound","SMD",0
"399",1950,"Snake mackerels, escolars nei","GEP",0
"400",1950,"Snappers nei","SNA",0
"401",1950,"Snipefishes nei","SNI",0
"402",1950,"Snoek","SNK",0
"403",1950,"Sockeye(=Red)salmon",NA,0
"404",1950,"Solea spp",NA,937
"405",1950,"Solenette","GSM",0
"406",1950,"Soles nei","SOX",0
"407",1950,"Solid surf clam","ULO",0
"408",1950,"Sompat grunt","BUR",0
"409",1950,"Southern blue whiting","POS",0
"410",1950,"Southern bluefin tuna","SBF",0
"411",1950,"Southern hake","HKN",0
"412",1950,"Southern pink shrimp","SOP",0
"413",1950,"Southern spiny lobster","SLS",0
"414",1950,"Spanish ling","SLI",0
"415",1950,"Spinous spider crab","SCR",0
"416",1950,"Spiny butterfly ray","RGL",0
"417",1950,"Spiny gurnard","LEP",0
"418",1950,"Spiny lobsters nei","VLO",0
"419",1950,"Spiny turbot","PSB",0
"420",1950,"Splendid alfonsino","BYS",0
"421",1950,"Spottail mantis squillid","MTS",0
"422",1950,"Spotted flounder","CIL",0
"423",1950,"Spotted seabass","SPU",0
"424",1950,"Spotted wolffish","CAS",0
"425",1950,"Squeteague(=Gray weakfish)","STG",0
"426",1950,"Squids nei",NA,0
"427",1950,"Squillids nei","SQY",0
"428",1950,"Stargazers","URA",0
"429",1950,"Starry smooth-hound","SDS",0
"430",1950,"Sticklebacks","SKB",0
"431",1950,"Stingrays nei","STI",0
"432",1950,"Stingrays, butterfly rays nei","STT",0
"433",1950,"Stony sea urchin","URM",0
"434",1950,"Stout beardfish","PXV",0
"435",1950,"Straightnose rabbitfish","RCT",0
"436",1950,"Streaked gurnard","CTZ",0
"437",1950,"Striped bass","STB",0
"438",1950,"Striped mullet",NA,0
"439",1950,"Striped red shrimp","ARV",0
"440",1950,"Striped venus","SVE",0
"441",1950,"Sturgeon","APU",0
"442",1950,"Sturgeons nei","STU",0
"443",1950,"Surf clams nei","SSD",0
"444",1950,"Surmullets(=Red mullets) nei","MUX",0
"445",1950,"Swallowtail seaperch","AHN",0
"446",1950,"Swimcrabs nei",NA,0
"447",1950,"Swimming crabs, etc. nei","SWM",0
"448",1950,"Sword razor shell","EQI",0
"449",1950,"Swordfish","SWO",0
"450",1950,"Tadpole codling","SAO",0
"451",1950,"Tangle","LQD",0
"452",1950,"Tellins nei","TWL",0
"453",1950,"Tench","FTE",0
"454",1950,"Thickback sole","MKG",0
"455",1950,"Thickback soles",NA,0
"456",1950,"Thicklip grey mullet","MLR",0
"457",1950,"Threadfins, tasselfishes nei","THF",0
"458",1950,"Thresher","ALV",0
"459",1950,"Tiger shark","TIG",0
"460",1950,"Toadfishes nei","TDF",0
"461",1950,"Tonguefishes","TOX",0
"462",1950,"Tonguesole nei","YOX",0
"463",1950,"Torpedo rays","TOE",0
"464",1950,"Triggerfishes, durgons nei","TRI",0
"465",1950,"True tunas nei","TUS",0
"466",1950,"Tub gurnard","GUU",0
"467",1950,"Tuberculate abalone","HLT",0
"468",1950,"Tuna-like fishes nei","TUX",0
"469",1950,"Tunas nei","TUN",0
"470",1950,"Twaite shad","TSD",0
"471",1950,"Undulate venus","PAU",0
"472",1950,"Variegated scallop","VSC",0
"473",1950,"Various sharks nei","SKH",0
"474",1950,"Various squids nei","SQU",0
"475",1950,"Veined squid","SQF",0
"476",1950,"Velvet belly","ETX",0
"477",1950,"Velvet swimcrab","LIO",0
"478",1950,"Venus clams nei","CLV",0
"479",1950,"Wahoo","WAH",0
"480",1950,"Warty crab","EIK",0
"481",1950,"Warty venus","VEV",0
"482",1950,"Wedge sole","CET",0
"483",1950,"Weevers nei","WEX",0
"484",1950,"West African croakers nei","CKW",0
"485",1950,"West African goatfish","GOA",0
"486",1950,"West African ilisha","ILI",0
"487",1950,"Whelk","WHE",0
"488",1950,"White grouper","GPW",0
"489",1950,"White hake","HKW",0
"490",1950,"White perch","PEW",0
"491",1950,"White seabream","SWA",0
"492",1950,"White trevally","TRZ",0
"493",1950,"Whiteleg shrimp","PNV",0
"494",1950,"Wide-eyed flounder","OUB",0
"495",1950,"Winter flounder","FLW",0
"496",1950,"Wolffishes(=Catfishes) nei","CAT",0
"497",1950,"Wracks nei","FUA",0
"498",1950,"Wrasses, hogfishes, etc. nei","WRA",0
"499",1950,"Wreckfish","WRF",0
"500",1950,"Yellowfin tuna","YFT",0
"501",1950,"Yellowtail amberjack","YTC",0
"502",1950,"Yellowtail flounder","YEL",0
"503",1950,"Zebra seabream","SBZ",0
"504",1950,"anglerfish","MNZ",2038
"505",1951,"African striped grunt","GRA",0
"506",1951,"Alewife","ALE",0
"507",1951,"Alfonsino","BXD",0
"508",1951,"Alfonsinos, etc. nei","BRX",0
"509",1951,"Allis and twaite shads","SHD",0
"510",1951,"Allis shad","ASD",0
"511",1951,"Alloteuthis spp",NA,0
"512",1951,"Amberjacks nei","AMX",0
"513",1951,"Amer. plaice(=Long rough dab)","PLA",0
"514",1951,"American angler","ANG",0
"515",1951,"Angelsharks, sand devils nei","ASK",0
"516",1951,"Angolan dentex","DEA",0
"517",1951,"Angular roughshark","OXY",0
"518",1951,"Annular seabream","ANN",0
"519",1951,"Anomuran decapods nei","NUQ",0
"520",1951,"Aquatic invertebrates nei","INV",18483
