"","x"
"1","African striped grunt"
"2","Alewife"
"3","Alfonsino"
"4","Alfonsinos, etc. nei"
"5","Allis and twaite shads"
"6","Allis shad"
"7","Alloteuthis spp"
"8","Amberjacks nei"
"9","Amer. plaice(=Long rough dab)"
"10","American angler"
"11","Angelsharks, sand devils nei"
"12","Angolan dentex"
"13","Angular roughshark"
"14","Annular seabream"
"15","Anomuran decapods nei"
"16","Aquatic invertebrates nei"
"17","Aquatic mammals nei"
"18","Aquatic plants nei"
"19","Arctic skate"
"20","Argentine"
"21","Argentine hake"
"22","Argentine shortfin squid"
"23","Argentines"
"24","Aristeid shrimps nei"
"25","Atlantic Spanish mackerel"
"26","Atlantic blue marlin"
"27","Atlantic bonito"
"28","Atlantic ditch shrimp"
"29","Atlantic gobies nei"
"30","Atlantic halibut"
"31","Atlantic lizardfish"
"32","Atlantic pomfret"
"33","Atlantic redfishes nei"
"34","Atlantic sailfish"
"35","Atlantic saury"
"36","Atlantic silverside"
"37","Atlantic thornyhead"
"38","Atlantic tomcod"
"39","Atlantic white marlin"
"40","Axillary seabream"
"41","Baird's slickhead"
"42","Ballan wrasse"
"43","Banded carpet shell"
"44","Barnacle"
"45","Barracudas nei"
"46","Bastard grunt"
"47","Bean solen"
"48","Benguela hake"
"49","Bigelow's ray"
"50","Bigeye grunt"
"51","Bigeye thresher"
"52","Bigeye tuna"
"53","Bigeyes,glasseyes,bulleyes nei"
"54","Birdbeak dogfish"
"55","Black cardinal fish"
"56","Black goby"
"57","Black marlin"
"58","Black seabream"
"59","Blackbelly rosefish"
"60","Blackfin tuna"
"61","Blackspot(=red) seabream"
"62","Bladder wrack"
"63","Blue and red shrimp"
"64","Blue butterfish"
"65","Blue crab"
"66","Blue shark"
"67","Blue-leg swimcrab"
"68","Blueback shad"
"69","Bluefish"
"70","Bluespotted seabream"
"71","Bluntnose sixgill shark"
"72","Boarfishes nei"
"73","Boe drum"
"74","Bogue"
"75","Bonga shad"
"76","Bramble shark"
"77","Broadtail shortfin squid"
"78","Brown ray"
"79","Brown seaweeds"
"80","Bullet tuna"
"81","Butterfishes, pomfrets nei"
"82","Canary drum (=Baardman)"
"83","Caramote prawn"
"84","Carangids nei"
"85","Cardinalfishes, etc. nei"
"86","Carpet shells nei"
"87","Carragheen (Irish) moss"
"88","Cartilaginous fishes nei"
"89","Catsharks, etc. nei"
"90","Catsharks, nursehounds nei"
"91","Cephalopods nei"
"92","Chaceon geryons nei"
"93","Chamber venus"
"94","Clams, etc. nei"
"95","Clupeoids nei"
"96","Comber"
"97","Combers nei"
"98","Common European bittersweet"
"99","Common carp"
"100","Common cuttlefish"
"101","Common dentex"
"102","Common dolphinfish"
"103","Common eagle ray"
"104","Common mora"
"105","Common octopus"
"106","Common pandora"
"107","Common periwinkle"
"108","Common prawn"
"109","Common shrimp"
"110","Common spiny lobster"
"111","Common squids nei"
"112","Common stingray"
"113","Common two-banded seabream"
"114","Copper shark"
"115","Crangonid shrimps nei"
"116","Craylets, squat lobsters"
"117","Crest-tail catsharks nei"
"118","Crevalle jack"
"119","Croakers, drums nei"
"120","Crocodile shark"
"121","Crucian carp"
"122","Cusk-eels nei"
"123","Cuttlefish,bobtail squids nei"
"124","Cyprinids nei"
"125","Damselfish"
"126","Dealfishes"
"127","Deep-sea red crab"
"128","Deep-water Cape hake"
"129","Deep-water rose shrimp"
"130","Delta prawn"
"131","Demersal percomorphs nei"
"132","Dentex nei"
"133","Devil fish"
"134","Diadromous clupeoids nei"
"135","Diadromous fishes nei"
"136","Dogfish sharks nei"
"137","Dogfish sharks, etc. nei"
"138","Dogfishes and hounds nei"
"139","Dogfishes nei"
"140","Donax clams"
"141","Dusky grouper"
"142","Eagle rays"
"143","Echinoderms"
"144","Edible crab"
"145","Electric rays nei"
"146","Elegant cuttlefish"
"147","Escolar"
"148","European barracuda"
"149","European common squid"
"150","European conger"
"151","European flat oyster"
"152","European flounder"
"153","European flying squid"
"154","European lobster"
"155","European perch"
"156","European razor clam"
"157","European smelt"
"158","European squid"
"159","False scad"
"160","Finfishes nei"
"161","Flat oysters nei"
"162","Flatfishes nei"
"163","Flathead grey mullet"
"164","Flyingfishes nei"
"165","Forkbeard"
"166","Forkbeards nei"
"167","Freshwater fishes nei"
"168","Frigate and bullet tunas"
"169","Frigate tuna"
"170","Garfish"
"171","Gastropods nei"
"172","Gelidium seaweeds"
"173","Giant gelidium"
"174","Giant red shrimp"
"175","Giant tiger prawn"
"176","Gilthead seabream"
"177","Glasseye"
"178","Gobies nei"
"179","Golden carpet shell"
"180","Goldfish"
"181","Goose barnacles"
"182","Great Atlantic scallop"
"183","Greater amberjack"
"184","Greater weever"
"185","Green crab"
"186","Greenland cod"
"187","Greenland shark"
"188","Grenadiers nei"
"189","Grenadiers, rattails nei"
"190","Grey triggerfish"
"191","Grooved carpet shell"
"192","Groundfishes nei"
"193","Groupers nei"
"194","Groupers, seabasses nei"
"195","Grunts, sweetlips nei"
"196","Guitarfishes nei"
"197","Gulper shark"
"198","Gurnards nei"
"199","Gurnards, searobins nei"
"200","Hairtails, cutlassfishes nei"
"201","Hakes nei"
"202","Halfspined flathead"
"203","Hammerhead sharks nei"
"204","Hapuku wreckfish"
"205","Hard clams nei"
"206","Horned octopus"
"207","Imperial blackfish"
"208","Indian white prawn"
"209","Inshore squids nei"
"210","Jacks, crevalles nei"
"211","Japanese carpet shell"
"212","John dory"
"213","Kelps nei"
"214","King crabs"
"215","Kingklip"
"216","Knifetooth dogfish"
"217","Knobbed triton"
"218","Kuruma prawn"
"219","Lampreys nei"
"220","Lanternsharks nei"
"221","Large-eye dentex"
"222","Large-scaled gurnard"
"223","Largehead hairtail"
"224","Leerfish"
"225","Lefteye flounders nei"
"226","Lesser slipper lobster"
"227","Limpets nei"
"228","Lings nei"
"229","Lithothamnion"
"230","Little sleeper shark"
"231","Little tunny(=Atl.black skipj)"
"232","Lobsters nei"
"233","Longfin gurnard"
"234","Longfin squid"
"235","Longnose velvet dogfish"
"236","Longnosed skate"
"237","Longspine snipefish"
"238","Lowfin gulper shark"
"239","Lumpfish(=Lumpsucker)"
"240","Lusitanian toadfish"
"241","Mackerel sharks,porbeagles nei"
"242","Mactra surf clams nei"
"243","Mako sharks"
"244","Marbled electric ray"
"245","Marine crabs nei"
"246","Marine crustaceans nei"
"247","Marine fishes nei"
"248","Marine molluscs nei"
"249","Marine worms"
"250","Marlins,sailfishes,etc. nei"
"251","Marphysa sanguinea"
"252","Mature dosinia"
"253","Meagre"
"254","Mediterranean horse mackerel"
"255","Mediterranean moray"
"256","Mediterranean mussel"
"257","Mediterranean scaldfish"
"258","Mediterranean slimehead"
"259","Mediterranean slipper lobster"
"260","Mediterranean spearfish"
"261","Melanocharacidium blennioides"
"262","Monrovia doctorfish"
"263","Moras nei"
"264","Morays"
"265","Morocco dentex"
"266","Mottled grouper"
"267","Mugil spp"
"268","Mullets nei"
"269","Murex"
"270","Musky octopus"
"271","Mytilus spp"
"272","Narrow-barred Spanish mackerel"
"273","Navaga(=Wachna cod)"
"274","Neon flying squid"
"275","North Atlantic rockweed"
"276","North European kelp"
"277","Northern bluefin tuna"
"278","Northern cods nei"
"279","Northern pike"
"280","Northern quahog(=Hard clam)"
